                        # n, d, f, numerator, denominator, feature, p0, p1, p2, sigma_fit, Rap, minr, maxr, minew, maxew
 502  519  513       6182.77      6197.07      6192.20  -2.28568E-02  1.06770E+00 -4.61542E-01        0.0990       0.3023       0.9114       1.3796      24.6600      49.4800
 519  502  513       6197.07      6182.77      6192.20  -2.40254E-02 -1.41777E+00  2.05636E+00        0.0937       0.3750       0.7248       1.0972      24.6600      49.4800
 674  676  687       6374.75      6375.59      6388.04  -2.12235E-02  7.45767E-01  1.85574E-01        0.0989       0.3025       1.2118       1.7654      58.8200      86.8000
 674  685  680       6374.75      6384.90      6381.42  -2.57575E-02  5.55588E-01  4.23258E-01        0.0992       0.2985       1.3486       2.1455      49.8600      68.4700
 676  674  687       6375.59      6374.75      6388.04  -2.15544E-02 -1.70149E+00  2.46949E+00        0.0954       0.3511       0.5664       0.8252      58.8200      86.8000
 680  674  687       6381.42      6374.75      6388.04  -2.31378E-02 -1.11733E+00  2.29472E+00        0.0986       0.3076       0.5886       0.9931      58.8200      86.8000
 685  674  680       6384.90      6374.75      6381.42  -2.62470E-02 -1.69614E+00  2.40262E+00        0.0958       0.3465       0.4661       0.7415      49.8600      68.4700
 688  674  680       6388.49      6374.75      6381.42  -3.16582E-02 -8.44129E-01  2.85164E+00        0.0984       0.3109       1.1188       1.6566      49.8600      68.4700
 887  876  909       6739.92      6732.54      6754.55  -1.86991E-02  6.85515E-01  5.67773E-01        0.0993       0.2993       0.4804       0.9588      50.4000      87.2700
 887  899  909       6739.92      6750.42      6754.55  -2.00616E-02  5.80647E-01  6.19036E-01        0.0928       0.3877       0.6304       1.1968      50.4000      87.2700
 888  881  909       6740.96      6735.57      6754.55  -1.94363E-02  5.95841E-01  6.77207E-01        0.0979       0.3191       0.4798       1.0842      50.4000      87.2700
 888  886  909       6740.96      6739.46      6754.55  -1.85772E-02  7.79238E-01  3.31259E-01        0.0980       0.3172       0.6613       1.1581      50.4000      87.2700
 888  899  909       6740.96      6750.42      6754.55  -1.85610E-02  5.17007E-01  6.14411E-01        0.0911       0.4102       0.5806       1.2575      50.4000      87.2700
 888  903  909       6740.96      6752.21      6754.55  -1.92736E-02  6.72892E-01  6.02242E-01        0.0977       0.3211       0.5633       1.0293      50.4000      87.2700
 888  911  909       6740.96      6755.83      6754.55  -2.04107E-02  1.50037E-01  9.07059E-01        0.0977       0.3214       0.8999       2.8335      50.4000      87.2700
 890  896  909       6743.98      6749.05      6754.55  -1.66392E-02  3.02039E-01  5.57449E-01        0.0978       0.3204       0.8040       1.9665      50.4000      87.2700
 890  899  896       6743.98      6750.42      6749.05  -1.56473E-02  7.53089E-01 -1.90389E-01        0.0941       0.3705       0.8369       1.3775      35.2700      66.5900
