# line_id  wave		width
l0001      5350.19         0.18
l0002      5350.43         0.30
l0003      5350.78         0.14
l0004      5351.07         0.15
l0005      5351.21         0.13
l0006      5351.31         0.07
l0007      5351.41         0.11
l0008      5351.50         0.09
l0009      5351.64         0.18
l0010      5351.80         0.15
l0011      5352.04         0.31
l0012      5352.28         0.18
l0013      5352.45         0.18
l0014      5352.60         0.13
l0015      5352.77         0.20
l0016      5352.96         0.17
l0017      5353.43         0.34
l0018      5353.86         0.18
l0019      5354.00         0.11
l0020      5354.19         0.25
l0021      5354.46         0.19
l0022      5354.63         0.17
l0023      5354.87         0.29
l0024      5355.11         0.20
l0025      5355.38         0.35
l0026      5355.71         0.31
l0027      5356.06         0.38
l0028      5356.38         0.26
l0029      5356.62         0.21
l0030      5356.79         0.15
l0031      5357.14         0.24
l0032      5357.47         0.18
l0033      5357.77         0.40
l0034      5358.06         0.18
l0035      5358.28         0.18
l0036      5358.43         0.12
l0037      5358.58         0.18
l0038      5359.02         0.21
l0039      5359.19         0.14
l0040      5359.35         0.18
l0041      5359.54         0.23
l0042      5359.73         0.13
l0043      5359.91         0.24
l0044      5360.13         0.20
l0045      5360.42         0.15
l0046      5360.62         0.24
l0047      5360.81         0.13
l0048      5360.97         0.20
l0049      5361.15         0.16
l0050      5361.50         0.17
l0051      5361.79         0.43
l0052      5362.20         0.38
l0053      5362.67         0.41
l0054      5363.07         0.16
l0055      5363.22         0.15
l0056      5363.36         0.12
l0057      5363.51         0.19
l0058      5364.33         0.14
l0059      5364.46         0.13
l0060      5364.58         0.09
l0061      5364.85         0.29
l0062      5365.06         0.12
l0063      5365.38         0.32
l0064      5365.70         0.31
l0065      5366.62         0.26
l0066      5366.83         0.16
l0067      5366.98         0.13
l0068      5367.15         0.22
l0069      5367.45         0.38
l0070      5367.69         0.10
l0071      5368.21         0.17
l0072      5368.66         0.35
l0073      5369.00         0.33
l0074      5369.22         0.12
l0075      5369.36         0.16
l0076      5369.56         0.25
l0077      5369.75         0.12
l0078      5369.92         0.23
l0079      5370.10         0.12
l0080      5370.25         0.19
l0081      5370.48         0.14
l0082      5372.33         0.18
l0083      5372.54         0.24
l0084      5372.76         0.14
l0085      5372.87         0.08
l0086      5373.07         0.20
l0087      5373.33         0.21
l0088      5373.52         0.16
l0089      5373.83         0.46
l0090      5374.20         0.28
l0091      5374.50         0.31
l0092      5374.77         0.28
l0093      5375.00         0.17
l0094      5375.30         0.32
